model,parameters,train_time_sec,best_val_rmse,test_mse,test_rmse,test_phm_score,subset
lstm,25281,16.7569687878713,12.164413452148438,249.1462860107422,15.784367561340332,820.8123779296875,FD001
tcn,35361,29.846851031761616,11.686283111572266,217.01341247558594,14.731375694274902,413.70709228515625,FD001
dlinear,943,10.430447333026677,18.65688705444336,473.4803161621094,21.75960350036621,1026.078857421875,FD001
