model,feature,baseline_rmse,occluded_rmse,rmse_increase
lstm,sensor_2,15.784367561340332,17.646484375,1.862116813659668
lstm,sensor_11,15.784367561340332,17.355045318603516,1.5706777572631836
lstm,sensor_9,15.784367561340332,17.23536491394043,1.4509973526000977
lstm,sensor_3,15.784367561340332,17.068500518798828,1.284132957458496
lstm,sensor_7,15.784367561340332,17.025144577026367,1.2407770156860352
lstm,sensor_8,15.784367561340332,16.954469680786133,1.1701021194458008
lstm,sensor_14,15.784367561340332,16.93691062927246,1.152543067932129
lstm,sensor_4,15.784367561340332,16.872276306152344,1.0879087448120117
lstm,sensor_13,15.784367561340332,16.633983612060547,0.8496160507202148
lstm,sensor_15,15.784367561340332,16.60902214050293,0.8246545791625977
lstm,sensor_12,15.784367561340332,16.229995727539062,0.44562816619873047
lstm,setting_1,15.784367561340332,16.054821014404297,0.27045345306396484
lstm,sensor_6,15.784367561340332,16.033973693847656,0.24960613250732422
lstm,sensor_20,15.784367561340332,15.915928840637207,0.131561279296875
lstm,setting_3,15.784367561340332,15.784367561340332,0.0
lstm,sensor_1,15.784367561340332,15.784367561340332,0.0
lstm,sensor_5,15.784367561340332,15.784367561340332,0.0
lstm,sensor_10,15.784367561340332,15.784367561340332,0.0
lstm,sensor_16,15.784367561340332,15.784367561340332,0.0
lstm,sensor_18,15.784367561340332,15.784367561340332,0.0
lstm,sensor_19,15.784367561340332,15.784367561340332,0.0
lstm,setting_2,15.784367561340332,15.707894325256348,-0.07647323608398438
lstm,sensor_21,15.784367561340332,15.621611595153809,-0.16275596618652344
lstm,sensor_17,15.784367561340332,15.478266716003418,-0.30610084533691406
