model,parameters,train_time_sec,best_val_rmse,test_mse,test_rmse,test_phm_score,subset
lstm,25281,18.1585546429269,10.735405921936035,175.9816436767578,13.265807151794434,407.4588928222656,FD003
tcn,35361,36.986626838799566,11.652113914489746,234.13668823242188,15.30152702331543,558.95263671875,FD003
dlinear,943,12.434556424152106,13.48340892791748,256.5001525878906,16.015621185302734,462.7068176269531,FD003
