model,feature,baseline_rmse,occluded_rmse,rmse_increase
lstm,sensor_12,13.265807151794434,18.724878311157227,5.459071159362793
lstm,sensor_15,13.265807151794434,18.134231567382812,4.868424415588379
lstm,sensor_8,13.265807151794434,16.620941162109375,3.3551340103149414
lstm,sensor_21,13.265807151794434,16.223684310913086,2.9578771591186523
lstm,sensor_13,13.265807151794434,14.782109260559082,1.5163021087646484
lstm,sensor_7,13.265807151794434,14.777368545532227,1.511561393737793
lstm,sensor_9,13.265807151794434,14.704115867614746,1.4383087158203125
lstm,sensor_20,13.265807151794434,14.58854866027832,1.3227415084838867
lstm,sensor_10,13.265807151794434,14.576350212097168,1.3105430603027344
lstm,sensor_14,13.265807151794434,14.302210807800293,1.0364036560058594
lstm,sensor_6,13.265807151794434,14.209805488586426,0.9439983367919922
lstm,sensor_4,13.265807151794434,13.779583930969238,0.5137767791748047
lstm,sensor_2,13.265807151794434,13.605993270874023,0.34018611907958984
lstm,sensor_11,13.265807151794434,13.574433326721191,0.3086261749267578
lstm,setting_3,13.265807151794434,13.265807151794434,0.0
lstm,sensor_1,13.265807151794434,13.265807151794434,0.0
lstm,sensor_5,13.265807151794434,13.265807151794434,0.0
lstm,sensor_16,13.265807151794434,13.265807151794434,0.0
lstm,sensor_18,13.265807151794434,13.265807151794434,0.0
lstm,sensor_19,13.265807151794434,13.265807151794434,0.0
lstm,setting_1,13.265807151794434,13.258849143981934,-0.0069580078125
lstm,setting_2,13.265807151794434,13.098002433776855,-0.16780471801757812
lstm,sensor_17,13.265807151794434,13.018865585327148,-0.24694156646728516
lstm,sensor_3,13.265807151794434,13.003520011901855,-0.2622871398925781
