model,best_val_rmse,test_mse,test_rmse,test_phm_score
lstm,13.72530746459961,213.76995849609375,14.620874404907227,368.5205078125
tcn,14.567957878112793,311.4339904785156,17.647493362426758,1019.7066650390625
dlinear,42.07622528076172,1492.2137451171875,38.629180908203125,6279.146484375
