model,parameters,train_time_sec,best_val_rmse,test_rmse,test_phm_score,subset
lstm,25281,43.641708427108824,16.60323715209961,15.411626815795898,946.0181884765625,FD002
tcn,35361,82.4478340903297,18.42162322998047,16.054609298706055,1289.41064453125,FD002
dlinear,943,28.05624498007819,21.82046890258789,20.206830978393555,2627.7099609375,FD002
