model,parameters,train_time_sec,best_val_rmse,test_rmse,test_phm_score,subset
lstm,25281,18.1585546429269,10.735405921936035,13.265807151794434,407.4588928222656,FD003
tcn,35361,36.986626838799566,11.652113914489746,15.30152702331543,558.95263671875,FD003
dlinear,943,12.434556424152106,13.48340892791748,16.015621185302734,462.7068176269531,FD003
