model,parameters,train_time_sec,best_val_rmse,test_rmse,test_phm_score,subset
lstm,25281,50.4292057948187,16.01596450805664,17.189346313476562,1397.7222900390625,FD004
tcn,35361,96.57451229682192,17.023963928222656,19.873950958251953,2985.156005859375,FD004
dlinear,943,32.52815603883937,21.058225631713867,25.311962127685547,6609.677734375,FD004
