model,feature,baseline_rmse,occluded_rmse,rmse_increase
lstm,sensor_11,17.189346313476562,53.913970947265625,36.72462463378906
lstm,setting_2,17.189346313476562,51.905662536621094,34.71631622314453
lstm,sensor_1,17.189346313476562,49.7052001953125,32.51585388183594
lstm,sensor_8,17.189346313476562,45.72300720214844,28.533660888671875
lstm,sensor_4,17.189346313476562,44.062740325927734,26.873394012451172
lstm,sensor_18,17.189346313476562,40.749813079833984,23.560466766357422
lstm,sensor_19,17.189346313476562,38.768436431884766,21.579090118408203
lstm,sensor_14,17.189346313476562,36.661861419677734,19.472515106201172
lstm,setting_3,17.189346313476562,32.067317962646484,14.877971649169922
lstm,sensor_17,17.189346313476562,31.641536712646484,14.452190399169922
lstm,sensor_2,17.189346313476562,31.25143051147461,14.062084197998047
lstm,sensor_3,17.189346313476562,30.71620750427246,13.526861190795898
lstm,sensor_13,17.189346313476562,28.040393829345703,10.85104751586914
lstm,sensor_15,17.189346313476562,25.397981643676758,8.208635330200195
lstm,sensor_10,17.189346313476562,25.213876724243164,8.024530410766602
lstm,setting_1,17.189346313476562,24.897926330566406,7.708580017089844
lstm,sensor_6,17.189346313476562,24.48398780822754,7.294641494750977
lstm,sensor_21,17.189346313476562,23.74729347229004,6.557947158813477
lstm,sensor_7,17.189346313476562,23.676494598388672,6.487148284912109
lstm,sensor_9,17.189346313476562,22.825672149658203,5.636325836181641
lstm,sensor_16,17.189346313476562,22.400447845458984,5.211101531982422
lstm,sensor_12,17.189346313476562,21.75383758544922,4.564491271972656
lstm,sensor_5,17.189346313476562,18.976137161254883,1.7867908477783203
lstm,sensor_20,17.189346313476562,18.375106811523438,1.185760498046875
